NUMDATE,STRDATE,XCOORD,YCOORD,ZCOORD
2378575.696528,1800-Mar-21,10361991.153933,44740306.101922,2686641.262032
2396785.352083,1850-Jan-27,10300791.041400,44753661.080884,2697676.013164
2415082.977083,1900-Mar-04,10238305.550148,44765589.860477,2708614.077208
2433292.634028,1950-Jan-11,10172151.516561,44780507.069622,2720159.479609
2451590.256250,2000-Feb-15,10116392.015872,44791898.835652,2730523.064605
