NUMDATE,STRDATE,XCOORD,YCOORD,ZCOORD
2378575.500000,1800-Mar-21,11331220.034215,44513014.638736,2578674.087053
2387636.500000,1825-Jan-10,10528952.065197,44702975.396665,2670330.307460
2396785.500000,1850-Jan-28,9568358.751832,44912133.790665,2778099.343750
2405934.500000,1875-Feb-15,8600275.510869,45105377.130527,2885124.816343
2415082.500000,1900-Mar-04,12585138.234675,44190015.012964,2445659.764563
2424231.500000,1925-Mar-22,11631847.604043,44437970.888565,2555839.816035
2433292.500000,1950-Jan-11,10834313.862231,44630211.323572,2647030.748174
2442441.500000,1975-Jan-29,9868932.266465,44846740.032754,2755606.634565
2451590.500000,2000-Feb-16,8907114.405697,45042724.592015,2862007.165249
