*******************************************************************************
Ephemeris / WWW_USER Thu Mar 11 18:48:36 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mercury (199)                   {source: DE431mx}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Feb-15 00:00:00.0000 TDB
Stop  time      : A.D. 2000-Feb-17 00:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2451589.500000000, A.D. 2000-Feb-15 00:00:00.0000,  1.382609587559296E+07,  4.384214205636711E+07,  2.312440379958896E+06,
2451589.500694444, A.D. 2000-Feb-15 00:01:00.0000,  1.382272294720010E+07,  4.384313204803712E+07,  2.312830838356931E+06,
2451589.501388889, A.D. 2000-Feb-15 00:02:00.0000,  1.381934995108641E+07,  4.384412182490888E+07,  2.313221285423825E+06,
2451589.502083333, A.D. 2000-Feb-15 00:03:00.0000,  1.381597688726818E+07,  4.384511138697682E+07,  2.313611721157638E+06,
2451589.502777778, A.D. 2000-Feb-15 00:04:00.0000,  1.381260375576172E+07,  4.384610073423541E+07,  2.314002145556405E+06,
2451589.503472222, A.D. 2000-Feb-15 00:05:00.0000,  1.380923055658334E+07,  4.384708986667909E+07,  2.314392558618186E+06,
2451589.504166667, A.D. 2000-Feb-15 00:06:00.0000,  1.380585728974934E+07,  4.384807878430230E+07,  2.314782960341034E+06,
2451589.504861111, A.D. 2000-Feb-15 00:07:00.0000,  1.380248395527602E+07,  4.384906748709951E+07,  2.315173350722989E+06,
2451589.505555556, A.D. 2000-Feb-15 00:08:00.0000,  1.379911055317969E+07,  4.385005597506516E+07,  2.315563729762115E+06,
2451589.506250000, A.D. 2000-Feb-15 00:09:00.0000,  1.379573708347666E+07,  4.385104424819370E+07,  2.315954097456448E+06,
2451589.506944444, A.D. 2000-Feb-15 00:10:00.0000,  1.379236354618323E+07,  4.385203230647959E+07,  2.316344453804046E+06,
2451589.507638889, A.D. 2000-Feb-15 00:11:00.0000,  1.378898994131571E+07,  4.385302014991731E+07,  2.316734798802953E+06,
2451589.508333333, A.D. 2000-Feb-15 00:12:00.0000,  1.378561626889042E+07,  4.385400777850129E+07,  2.317125132451233E+06,
2451589.509027778, A.D. 2000-Feb-15 00:13:00.0000,  1.378224252892365E+07,  4.385499519222602E+07,  2.317515454746924E+06,
2451589.509722222, A.D. 2000-Feb-15 00:14:00.0000,  1.377886872143173E+07,  4.385598239108593E+07,  2.317905765688084E+06,
2451589.510416667, A.D. 2000-Feb-15 00:15:00.0000,  1.377549484643096E+07,  4.385696937507551E+07,  2.318296065272763E+06,
2451589.511111111, A.D. 2000-Feb-15 00:16:00.0000,  1.377212090393764E+07,  4.385795614418923E+07,  2.318686353499001E+06,
2451589.511805556, A.D. 2000-Feb-15 00:17:00.0000,  1.376874689396810E+07,  4.385894269842154E+07,  2.319076630364865E+06,
2451589.512500000, A.D. 2000-Feb-15 00:18:00.0000,  1.376537281653864E+07,  4.385992903776693E+07,  2.319466895868396E+06,
2451589.513194445, A.D. 2000-Feb-15 00:19:00.0000,  1.376199867166559E+07,  4.386091516221985E+07,  2.319857150007648E+06,
2451589.513888889, A.D. 2000-Feb-15 00:20:00.0000,  1.375862445936524E+07,  4.386190107177480E+07,  2.320247392780676E+06,
2451589.514583333, A.D. 2000-Feb-15 00:21:00.0000,  1.375525017965392E+07,  4.386288676642623E+07,  2.320637624185525E+06,
2451589.515277778, A.D. 2000-Feb-15 00:22:00.0000,  1.375187583254795E+07,  4.386387224616863E+07,  2.321027844220249E+06,
2451589.515972222, A.D. 2000-Feb-15 00:23:00.0000,  1.374850141806362E+07,  4.386485751099648E+07,  2.321418052882895E+06,
2451589.516666667, A.D. 2000-Feb-15 00:24:00.0000,  1.374512693621728E+07,  4.386584256090424E+07,  2.321808250171525E+06,
2451589.517361111, A.D. 2000-Feb-15 00:25:00.0000,  1.374175238702522E+07,  4.386682739588642E+07,  2.322198436084177E+06,
2451589.518055555, A.D. 2000-Feb-15 00:26:00.0000,  1.373837777050376E+07,  4.386781201593749E+07,  2.322588610618915E+06,
2451589.518750000, A.D. 2000-Feb-15 00:27:00.0000,  1.373500308666924E+07,  4.386879642105195E+07,  2.322978773773782E+06,
2451589.519444444, A.D. 2000-Feb-15 00:28:00.0000,  1.373162833553796E+07,  4.386978061122425E+07,  2.323368925546836E+06,
2451589.520138889, A.D. 2000-Feb-15 00:29:00.0000,  1.372825351712624E+07,  4.387076458644892E+07,  2.323759065936133E+06,
2451589.520833333, A.D. 2000-Feb-15 00:30:00.0000,  1.372487863145040E+07,  4.387174834672042E+07,  2.324149194939708E+06,
2451589.521527778, A.D. 2000-Feb-15 00:31:00.0000,  1.372150367852677E+07,  4.387273189203326E+07,  2.324539312555630E+06,
2451589.522222222, A.D. 2000-Feb-15 00:32:00.0000,  1.371812865837166E+07,  4.387371522238193E+07,  2.324929418781936E+06,
2451589.522916667, A.D. 2000-Feb-15 00:33:00.0000,  1.371475357100140E+07,  4.387469833776092E+07,  2.325319513616696E+06,
