*******************************************************************************
Ephemeris / WWW_USER Thu Mar 11 18:46:21 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mercury (199)                   {source: DE431mx}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1950-Jan-10 00:00:00.0000 TDB
Stop  time      : A.D. 1950-Jan-12 00:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2433291.500000000, A.D. 1950-Jan-10 00:00:00.0000,  1.570417395958434E+07,  4.325360133657322E+07,  2.087065638489924E+06,
2433291.500694444, A.D. 1950-Jan-10 00:01:00.0000,  1.570084175819543E+07,  4.325471146996740E+07,  2.087462522582624E+06,
2433291.501388889, A.D. 1950-Jan-10 00:02:00.0000,  1.569750948005836E+07,  4.325582139192647E+07,  2.087859396471493E+06,
2433291.502083333, A.D. 1950-Jan-10 00:03:00.0000,  1.569417712518904E+07,  4.325693110244396E+07,  2.088256260154553E+06,
2433291.502777778, A.D. 1950-Jan-10 00:04:00.0000,  1.569084469360339E+07,  4.325804060151342E+07,  2.088653113629805E+06,
2433291.503472222, A.D. 1950-Jan-10 00:05:00.0000,  1.568751218531730E+07,  4.325914988912837E+07,  2.089049956895271E+06,
2433291.504166667, A.D. 1950-Jan-10 00:06:00.0000,  1.568417960034671E+07,  4.326025896528237E+07,  2.089446789948951E+06,
2433291.504861111, A.D. 1950-Jan-10 00:07:00.0000,  1.568084693870753E+07,  4.326136782996894E+07,  2.089843612788860E+06,
2433291.505555556, A.D. 1950-Jan-10 00:08:00.0000,  1.567751420041566E+07,  4.326247648318166E+07,  2.090240425413009E+06,
2433291.506250000, A.D. 1950-Jan-10 00:09:00.0000,  1.567418138548703E+07,  4.326358492491404E+07,  2.090637227819400E+06,
2433291.506944444, A.D. 1950-Jan-10 00:10:00.0000,  1.567084849393756E+07,  4.326469315515964E+07,  2.091034020006055E+06,
2433291.507638889, A.D. 1950-Jan-10 00:11:00.0000,  1.566751552578315E+07,  4.326580117391200E+07,  2.091430801970977E+06,
2433291.508333333, A.D. 1950-Jan-10 00:12:00.0000,  1.566418248103973E+07,  4.326690898116469E+07,  2.091827573712170E+06,
2433291.509027778, A.D. 1950-Jan-10 00:13:00.0000,  1.566084935972323E+07,  4.326801657691123E+07,  2.092224335227663E+06,
2433291.509722222, A.D. 1950-Jan-10 00:14:00.0000,  1.565751616184955E+07,  4.326912396114521E+07,  2.092621086515451E+06,
2433291.510416667, A.D. 1950-Jan-10 00:15:00.0000,  1.565418288743462E+07,  4.327023113386016E+07,  2.093017827573553E+06,
2433291.511111111, A.D. 1950-Jan-10 00:16:00.0000,  1.565084953649436E+07,  4.327133809504965E+07,  2.093414558399970E+06,
2433291.511805556, A.D. 1950-Jan-10 00:17:00.0000,  1.564751610904469E+07,  4.327244484470722E+07,  2.093811278992726E+06,
2433291.512500000, A.D. 1950-Jan-10 00:18:00.0000,  1.564418260510154E+07,  4.327355138282645E+07,  2.094207989349818E+06,
2433291.513194445, A.D. 1950-Jan-10 00:19:00.0000,  1.564084902468083E+07,  4.327465770940089E+07,  2.094604689469272E+06,
2433291.513888889, A.D. 1950-Jan-10 00:20:00.0000,  1.563751536779849E+07,  4.327576382442410E+07,  2.095001379349085E+06,
2433291.514583333, A.D. 1950-Jan-10 00:21:00.0000,  1.563418163447043E+07,  4.327686972788965E+07,  2.095398058987271E+06,
2433291.515277778, A.D. 1950-Jan-10 00:22:00.0000,  1.563084782471259E+07,  4.327797541979111E+07,  2.095794728381846E+06,
2433291.515972222, A.D. 1950-Jan-10 00:23:00.0000,  1.562751393854089E+07,  4.327908090012205E+07,  2.096191387530826E+06,
2433291.516666667, A.D. 1950-Jan-10 00:24:00.0000,  1.562417997597126E+07,  4.328018616887602E+07,  2.096588036432207E+06,
2433291.517361111, A.D. 1950-Jan-10 00:25:00.0000,  1.562084593701963E+07,  4.328129122604661E+07,  2.096984675084008E+06,
2433291.518055555, A.D. 1950-Jan-10 00:26:00.0000,  1.561751182170193E+07,  4.328239607162739E+07,  2.097381303484246E+06,
2433291.518750000, A.D. 1950-Jan-10 00:27:00.0000,  1.561417763003409E+07,  4.328350070561192E+07,  2.097777921630921E+06,
2433291.519444444, A.D. 1950-Jan-10 00:28:00.0000,  1.561084336203203E+07,  4.328460512799380E+07,  2.098174529522050E+06,
2433291.520138889, A.D. 1950-Jan-10 00:29:00.0000,  1.560750901771169E+07,  4.328570933876659E+07,  2.098571127155643E+06,
2433291.520833333, A.D. 1950-Jan-10 00:30:00.0000,  1.560417459708900E+07,  4.328681333792386E+07,  2.098967714529717E+06,
2433291.521527778, A.D. 1950-Jan-10 00:31:00.0000,  1.560084010017990E+07,  4.328791712545922E+07,  2.099364291642282E+06,
2433291.522222222, A.D. 1950-Jan-10 00:32:00.0000,  1.559750552700032E+07,  4.328902070136622E+07,  2.099760858491341E+06,
2433291.522916667, A.D. 1950-Jan-10 00:33:00.0000,  1.559417087756618E+07,  4.329012406563847E+07,  2.100157415074917E+06,
