*******************************************************************************
Ephemeris / WWW_USER Thu Mar 11 18:40:32 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mercury (199)                   {source: DE431mx}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1800-Mar-20 00:00:00.0000 TDB
Stop  time      : A.D. 1800-Mar-22 00:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2378574.500000000, A.D. 1800-Mar-20 00:00:00.0000,  1.618610681346331E+07,  4.308787376582438E+07,  2.014524754075570E+06,
2378574.500694444, A.D. 1800-Mar-20 00:01:00.0000,  1.618278670586481E+07,  4.308901701118492E+07,  2.014924289852746E+06,
2378574.501388889, A.D. 1800-Mar-20 00:02:00.0000,  1.617946651920508E+07,  4.309016004603365E+07,  2.015323815785980E+06,
2378574.502083333, A.D. 1800-Mar-20 00:03:00.0000,  1.617614625349993E+07,  4.309130287036389E+07,  2.015723331873268E+06,
2378574.502777778, A.D. 1800-Mar-20 00:04:00.0000,  1.617282590876516E+07,  4.309244548416900E+07,  2.016122838112608E+06,
2378574.503472222, A.D. 1800-Mar-20 00:05:00.0000,  1.616950548501660E+07,  4.309358788744227E+07,  2.016522334501998E+06,
2378574.504166667, A.D. 1800-Mar-20 00:06:00.0000,  1.616618498227005E+07,  4.309473008017704E+07,  2.016921821039446E+06,
2378574.504861111, A.D. 1800-Mar-20 00:07:00.0000,  1.616286440054134E+07,  4.309587206236663E+07,  2.017321297722936E+06,
2378574.505555556, A.D. 1800-Mar-20 00:08:00.0000,  1.615954373984626E+07,  4.309701383400439E+07,  2.017720764550468E+06,
2378574.506250000, A.D. 1800-Mar-20 00:09:00.0000,  1.615622300020065E+07,  4.309815539508368E+07,  2.018120221520038E+06,
2378574.506944444, A.D. 1800-Mar-20 00:10:00.0000,  1.615290218162031E+07,  4.309929674559778E+07,  2.018519668629646E+06,
2378574.507638889, A.D. 1800-Mar-20 00:11:00.0000,  1.614958128412107E+07,  4.310043788554006E+07,  2.018919105877290E+06,
2378574.508333333, A.D. 1800-Mar-20 00:12:00.0000,  1.614626030771875E+07,  4.310157881490386E+07,  2.019318533260966E+06,
2378574.509027778, A.D. 1800-Mar-20 00:13:00.0000,  1.614293925242915E+07,  4.310271953368251E+07,  2.019717950778676E+06,
2378574.509722222, A.D. 1800-Mar-20 00:14:00.0000,  1.613961811826811E+07,  4.310386004186935E+07,  2.020117358428415E+06,
2378574.510416667, A.D. 1800-Mar-20 00:15:00.0000,  1.613629690525144E+07,  4.310500033945774E+07,  2.020516756208178E+06,
